
2025/04/26 (12:09:49) | ===> btop++ v.1.4.0
2025/04/26 (12:09:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/26 (12:12:44) | ===> btop++ v.1.4.0
2025/04/26 (12:12:44) | WARNING: Intel GPU: Failed to initialize PMU

2026/02/04 (23:02:17) | ===> btop++ v.1.3.0
2026/02/04 (23:02:22) | ERROR: Stall in Runner thread, restarting!

2026/02/04 (23:02:20) | ===> btop++ v.1.3.0
2026/02/04 (23:02:23) | ERROR: Stall in Runner thread, restarting!
2026/02/04 (23:02:46) | ERROR: Stall in Runner thread, restarting!
2026/02/04 (23:03:03) | ERROR: Stall in Runner thread, restarting!
2026/02/04 (23:03:20) | ERROR: Stall in Runner thread, restarting!
2026/02/04 (23:03:35) | ERROR: Stall in Runner thread, restarting!
2026/02/04 (23:03:35) | ERROR: Stall in Runner thread, restarting!
2026/02/04 (23:11:38) | ERROR: Stall in Runner thread, restarting!
2026/02/04 (23:11:38) | ERROR: Stall in Runner thread, restarting!

2026/02/04 (23:31:03) | ===> btop++ v.1.3.0
2026/02/04 (23:31:04) | ERROR: Stall in Runner thread, restarting!

2026/03/26 (09:00:53) | ===> btop++ v.1.3.0
2026/03/26 (09:00:53) | WARNING: Failed to join _runner thread on exit!

2026/04/14 (11:29:33) | ===> btop++ v.1.3.0
2026/04/14 (11:29:33) | WARNING: Failed to join _runner thread on exit!
2026/04/14 (11:29:33) | ERROR: No response from Runner thread, quitting!

2026/04/21 (09:57:36) | ===> btop++ v.1.3.0
2026/04/21 (09:57:36) | WARNING: Failed to join _runner thread on exit!
2026/04/21 (09:57:36) | ERROR: No response from Runner thread, quitting!

2026/05/21 (15:25:55) | ===> btop++ v.1.3.0
2026/05/21 (15:25:55) | ERROR: Stall in Runner thread, restarting!
2026/05/21 (15:26:16) | ERROR: Stall in Runner thread, restarting!
2026/05/21 (15:26:43) | ERROR: Stall in Runner thread, restarting!
2026/05/21 (15:27:54) | ERROR: Stall in Runner thread, restarting!
2026/05/21 (15:28:19) | ERROR: Stall in Runner thread, restarting!
2026/05/21 (15:28:28) | ERROR: Stall in Runner thread, restarting!

2026/07/22 (20:38:42) | ===> btop++ v.1.3.0
2026/07/22 (20:38:42) | ERROR: Stall in Runner thread, restarting!

2026/07/27 (12:40:03) | ===> btop++ v.1.3.0
2026/07/27 (12:40:03) | ERROR: Stall in Runner thread, restarting!

2026/08/04 (18:48:27) | ===> btop++ v.1.3.0
2026/08/04 (18:48:27) | ERROR: Stall in Runner thread, restarting!

2026/08/04 (19:14:01) | ===> btop++ v.1.3.0
2026/08/04 (19:14:01) | ERROR: Stall in Runner thread, restarting!

2026/08/04 (20:41:11) | ===> btop++ v.1.3.0
2026/08/04 (20:41:11) | ERROR: Stall in Runner thread, restarting!

2026/08/05 (15:21:49) | ===> btop++ v.1.3.0
2026/08/05 (15:21:49) | ERROR: Stall in Runner thread, restarting!

2026/08/05 (15:31:20) | ===> btop++ v.1.3.0
2026/08/05 (15:31:20) | ERROR: Stall in Runner thread, restarting!

2026/08/05 (15:32:37) | ===> btop++ v.1.3.0
2026/08/05 (15:32:37) | ERROR: Stall in Runner thread, restarting!

2026/08/07 (13:44:48) | ===> btop++ v.1.3.0
2026/08/07 (13:44:48) | WARNING: Failed to join _runner thread on exit!
2026/08/07 (13:44:48) | ERROR: No response from Runner thread, quitting!
